Código	Medida Interna	Medida Externa	Aproveitamento
A01	90x150x70mm	105x158x73mm	PP - Aprov 4
A02	150x350x85mm	160x360x88mm	G - Aprov (1,5)
A03	57x330x30mm	80x340x33mm	M - Aprov 1 (1,00)
A04	60x240x70mm	75x248x73mm	M - Aprov 1 (1,00)
A05	235x78x70mm	250x87x73 mm	M - Aprov 1 (1,00)
A06	400x130x35mm	412x134x38mm	G - Aprov (1,5)
A07	90x285x90mm	110x300x93mm	M - Aprov 1 (1,00)
A08	160x160x40mm	180x170x43mm	PP - Aprov 4
A09	150x150x65 mm	170x160x68 mm	PP - Aprov 4
A10	320x190x90mm	340x200x93mm	GG - Aprov (2,0)
A11	250x315x80mm	275x325x83mm	GG - Aprov (2,0)
A12	270x150x80mm	285x158x83mm	G - Aprov (1,5)
A13	250x350x100mm	265x360x103mm	GG - Aprov (2,0)
A14	150x80x40 mm	165x90x43 mm	PP - Aprov 4
A15	250x250x25 mm	265x260x28 mm	M - Aprov 1 (1,00)
A16	240x240x55 mm	255x247x58 mm	M - Aprov 1 (1,00)
A17	185x185x25 mm	192x200x28 mm	M - Aprov 1 (1,00)
A18	350x250x100 mm	365x265x103 mm	GG - Aprov (2,0)
A19	120x220x70 mm	145x235x73 mm	M - Aprov 1 (1,00)
A20	90x340x90 mm	115x355x93 mm	G - Aprov (1,5)
A21	335x200x100 mm	365x215x103 mm	GG - Aprov (2,0)
A22	285x160x85 mm	300x163x88 mm	G - Aprov (1,5)
A23	335x200x100 mm	350x215x106 mm	GG - Aprov (2,0)
A24	170x165x85 mm	185x180x88 mm	M - Aprov 1 (1,00)
A25	200x200x85 mm	210x220x88 mm	M - Aprov 1 (1,00)
A26	350x200x85 mm	370x210x88 mm	GG - Aprov (2,0)
A27	250x150x150 mm	-	G - Aprov (1,5)
A28	290x230x100 mm	310x240x103 mm	GG - Aprov (2,0)
A29	350x250x150 mm	-	GG - Aprov (2,0)
A30	430x250x90 mm	445x260x93 mm	GG - Aprov (2,0)
A31	347x347x120 mm	370x360x123 mm	GG - Aprov (2,0)
A32	78x235x70 mm	90x243x73 mm	P - Aprov 2 (0,5)
A33	190x365x80 mm	235x400x83 mm	GG - Aprov (2,0)
